"Date","Price","Open","High","Low","Vol.","Change %"
"06/06/2022","9.8681","9.8625","9.8827","9.8442","42.72K","0.11%"
"06/03/2022","9.8574","9.8386","9.8858","9.7986","47.97K","0.24%"
"06/02/2022","9.8337","9.8875","9.8952","9.8331","57.81K","-0.52%"
"06/01/2022","9.8850","9.8615","9.9047","9.8359","70.70K","0.30%"
"05/31/2022","9.8552","9.8762","9.9094","9.8518","97.81K","-0.19%"
"05/30/2022","9.8742","9.8940","9.9035","9.8569","56.55K","-0.17%"
"05/27/2022","9.8915","9.8890","9.9136","9.8622","32.02K","0.07%"
"05/26/2022","9.8850","9.9262","9.9518","9.8856","72.52K","-0.33%"
"05/25/2022","9.9177","9.9423","9.9735","9.9121","62.08K","-0.16%"
"05/24/2022","9.9332","9.9697","9.9861","9.9303","53.02K","-0.34%"
"05/23/2022","9.9672","10.0220","10.0220","9.9541","53.12K","-0.50%"
"05/20/2022","10.0168","10.0201","10.0522","10.0029","141.90K","0.00%"
"05/19/2022","10.0165","10.0887","10.0925","10.0042","120.52K","-0.69%"
"05/18/2022","10.0862","10.0215","10.0927","10.0122","59.78K","0.68%"
"05/17/2022","10.0185","10.0775","10.0928","10.0131","49.15K","-0.57%"
"05/16/2022","10.0755","10.1248","10.1298","10.0695","66.81K","-0.45%"
"05/13/2022","10.1210","10.1490","10.1636","10.1113","81.44K","-0.23%"
"05/12/2022","10.1448","10.0680","10.1627","10.0560","60.36K","0.79%"
"05/11/2022","10.0655","10.0463","10.0697","10.0099","51.00K","0.21%"
"05/10/2022","10.0444","10.0270","10.0564","10.0122","67.85K","0.20%"
"05/09/2022","10.0245","10.0065","10.0581","9.9927","63.72K","0.20%"
"05/06/2022","10.0042","10.0060","10.0323","9.9740","50.32K","0.01%"
"05/05/2022","10.0035","9.9417","10.0358","9.9299","57.92K","0.65%"
"05/04/2022","9.9385","10.0015","10.0110","9.9354","61.68K","-0.61%"
"05/03/2022","9.9995","10.0100","10.0180","9.9759","4.38K","-0.07%"
"05/02/2022","10.0065","9.9875","10.0185","9.9780","4.23K","0.20%"
"04/29/2022","9.9865","10.0155","10.0209","9.9552","109.49K","-0.27%"
"04/28/2022","10.0132","9.9745","10.0302","9.9682","82.77K","0.41%"
"04/27/2022","9.9720","9.9390","10.0014","9.9285","95.52K","0.34%"
"04/26/2022","9.9380","9.9321","9.9641","9.8954","62.99K","0.08%"
"04/25/2022","9.9296","9.8439","9.9397","9.8415","66.63K","0.90%"
"04/22/2022","9.8413","9.8005","9.8635","9.7915","56.91K","0.41%"
"04/21/2022","9.8016","9.7945","9.8127","9.7499","38.21K","0.10%"
"04/20/2022","9.7920","9.8455","9.8482","9.7852","36.47K","-0.52%"
"04/19/2022","9.8435","9.8541","9.8692","9.8203","38.69K","-0.08%"
"04/18/2022","9.8517","9.8205","9.8645","9.8140","16.43K","0.37%"
"04/15/2022","9.8155","9.7883","9.8330","9.7867","37.40K","0.30%"
"04/14/2022","9.7860","9.7825","9.8455","9.7363","72.14K","0.06%"
"04/13/2022","9.7800","9.8420","9.8511","9.7825","33.13K","-0.62%"
"04/12/2022","9.8410","9.7987","9.8453","9.7825","36.29K","0.46%"
"04/11/2022","9.7964","9.7621","9.8053","9.7316","33.15K","0.36%"
"04/08/2022","9.7611","9.7598","9.7870","9.7267","40.10K","0.06%"
"04/07/2022","9.7557","9.7179","9.7692","9.6969","46.80K","0.42%"
"04/06/2022","9.7149","9.7024","9.7547","9.6924","63.70K","0.15%"
"04/05/2022","9.7001","9.7445","9.7527","9.6919","37.30K","-0.43%"
"04/04/2022","9.7420","9.7240","9.7645","9.7197","21.08K","0.21%"
"04/01/2022","9.7215","9.6971","9.7489","9.6744","74.76K","0.28%"
"03/31/2022","9.6947","9.6435","9.7069","9.6302","79.62K","0.45%"
"03/30/2022","9.6509","9.6826","9.6884","9.6387","66.92K","-0.29%"
"03/29/2022","9.6790","9.6963","9.7051","9.6434","80.90K","-0.05%"
"03/28/2022","9.6835","9.7041","9.7261","9.6828","52.11K","-0.19%"
"03/25/2022","9.7015","9.6960","9.7078","9.6733","44.00K","0.09%"
"03/24/2022","9.6929","9.6715","9.7375","9.6632","47.80K","0.26%"
"03/23/2022","9.6679","9.7120","9.7401","9.6639","30.72K","-0.44%"
"03/22/2022","9.7106","9.7498","9.7801","9.6999","30.38K","-0.38%"
"03/21/2022","9.7472","9.7700","9.7768","9.7221","37.58K","-0.22%"
"03/18/2022","9.7690","9.7765","9.8163","9.7604","72.43K","-0.03%"
"03/17/2022","9.7718","9.7893","9.8067","9.7504","89.08K","-0.15%"
"03/16/2022","9.7868","9.7766","9.8836","9.7487","118.77K","0.13%"
"03/15/2022","9.7741","9.7208","9.8056","9.6779","84.96K","0.57%"
"03/14/2022","9.7189","9.7406","9.7437","9.6540","66.73K","-0.20%"
"03/11/2022","9.7380","9.8224","9.8308","9.6712","100.85K","-0.90%"
"03/10/2022","9.8266","9.8510","9.8701","9.7552","88.27K","-0.22%"
"03/09/2022","9.8485","9.9710","9.9815","9.8399","57.67K","-1.24%"
"03/08/2022","9.9725","9.9064","10.0603","9.8856","83.74K","0.69%"
"03/07/2022","9.9038","9.3507","9.9120","9.3500","81.23K","1.68%"
"03/04/2022","9.7403","9.6389","9.7706","9.6302","72.82K","1.08%"
"03/03/2022","9.6364","9.5855","9.6558","9.5839","82.37K","0.55%"
"03/02/2022","9.5835","9.5811","9.6186","9.5747","63.31K","0.04%"
"03/01/2022","9.5796","9.5469","9.6012","9.5163","86.35K","0.37%"
"02/28/2022","9.5443","9.4995","9.5863","9.4968","83.79K","0.49%"
"02/25/2022","9.4977","9.4784","9.5335","9.4557","74.03K","0.24%"
"02/24/2022","9.4754","9.4403","9.5248","9.4325","57.38K","0.38%"
"02/23/2022","9.4391","9.4358","9.4532","9.4096","47.87K","0.07%"
"02/22/2022","9.4325","9.4602","9.4727","9.4147","41.54K","-0.27%"
"02/21/2022","9.4577","9.4495","9.4632","9.4122","44.98K","0.12%"
"02/18/2022","9.4465","9.3861","9.4544","9.3642","46.69K","0.61%"
"02/17/2022","9.3891","9.3635","9.3968","9.3539","60.90K","0.29%"
"02/16/2022","9.3616","9.3680","9.3778","9.3492","51.43K","-0.05%"
"02/15/2022","9.3665","9.3885","9.3911","9.3555","59.06K","-0.21%"
"02/14/2022","9.3865","9.3429","9.4021","9.3280","49.19K","0.49%"
"02/11/2022","9.3404","9.3201","9.3528","9.3135","55.05K","0.25%"
"02/10/2022","9.3175","9.3206","9.3470","9.2827","54.80K","-0.01%"
"02/09/2022","9.3186","9.3270","9.3344","9.3061","50.57K","-0.06%"
"02/08/2022","9.3240","9.3154","9.3455","9.3036","31.55K","0.12%"
